config,q3_law,c,sim_length,lam,throughput,W_e2e_sojourn,W_e2e_qwait,Lq_Q1,Lq_Q2,Lq_Q3,util_Q1,util_Q3,mean_batch_fill
c1-D,deterministic,1,1000000,0.05,0.050302,4.057154785098008,0.05715478509800803,0.002875,0.0,0.0,0.100604,0.100604,1.0
c2-D,deterministic,2,1000000,0.05,0.050302,4.057154785098008,0.05715478509800803,0.002875,0.0,0.0,0.100604,0.050302,1.0
c1-Geo,geometric,1,1000000,0.05,0.050302,4.14188302651982,0.1440698182974832,0.002875,0.0,0.004372,0.100604,0.100494,1.0
c2-Geo,geometric,2,1000000,0.05,0.050302,4.055584271003141,0.05777106278080395,0.002875,0.0,3.1e-05,0.100604,0.050247,1.0
c1-D,deterministic,1,1000000,0.1,0.100311,4.122997477843906,0.12299747784390545,0.012338,0.0,0.0,0.200622,0.200622,1.0
c2-D,deterministic,2,1000000,0.1,0.100311,4.122997477843906,0.12299747784390545,0.012338,0.0,0.0,0.200622,0.100311,1.0
c1-Geo,geometric,1,1000000,0.1,0.10031,4.3033097398066,0.3053334662546107,0.012338,0.0,0.018292,0.200622,0.20042,1.0
c2-Geo,geometric,2,1000000,0.1,0.10031,4.122360681886153,0.12442428471737614,0.012338,0.0,0.000143,0.200622,0.1002105,1.0
c1-D,deterministic,1,1000000,0.15,0.150177,4.213754436431677,0.2137544364316773,0.032101,0.0,0.0,0.300354,0.300354,1.0
c2-D,deterministic,2,1000000,0.15,0.150177,4.213754436431677,0.2137544364316773,0.032101,0.0,0.0,0.300354,0.150177,1.0
c1-Geo,geometric,1,1000000,0.15,0.150175,4.53499583818878,0.5356883635758282,0.032101,0.0,0.048349,0.300354,0.300253,1.0
c2-Geo,geometric,2,1000000,0.15,0.150176,4.2169587683784355,0.21762465373961218,0.032101,0.0,0.000581,0.300354,0.1501275,1.0
c1-D,deterministic,1,1000000,0.2,0.199925,4.332064524196574,0.33206452419657373,0.066388,0.0,0.0,0.399852,0.399851,1.0
c2-D,deterministic,2,1000000,0.2,0.199925,4.332064524196574,0.33206452419657373,0.066388,0.0,0.0,0.399852,0.1999255,1.0
c1-Geo,geometric,1,1000000,0.2,0.199924,4.835092335087333,0.8341569796522679,0.066388,0.0,0.100384,0.399852,0.400036,1.0
c2-Geo,geometric,2,1000000,0.2,0.199925,4.339892459672377,0.33895710891584346,0.066388,0.0,0.001378,0.399852,0.200019,1.0
c1-D,deterministic,1,1000000,0.25,0.250077,4.5049844647848465,0.5049844647848463,0.126285,0.0,0.0,0.500157,0.500155,1.0
c2-D,deterministic,2,1000000,0.25,0.250077,4.5049844647848465,0.5049844647848463,0.126285,0.0,0.0,0.500157,0.2500775,1.0
c1-Geo,geometric,1,1000000,0.25,0.250077,5.2641866305178,1.2603518116420143,0.126285,0.0,0.1889,0.500157,0.501114,1.0
c2-Geo,geometric,2,1000000,0.25,0.250077,4.519224078983673,0.5153892601078868,0.126285,0.0,0.002602,0.500157,0.250557,1.0
c1-D,deterministic,1,1000000,0.3,0.300072,4.754498920259138,0.7544989202591378,0.226409,0.0,0.0,0.600147,0.600145,1.0
c2-D,deterministic,2,1000000,0.3,0.300072,4.754498920259138,0.7544989202591378,0.226409,0.0,0.0,0.600147,0.3000725,1.0
c1-Geo,geometric,1,1000000,0.3,0.300072,5.8713208829880825,1.870407768802154,0.226409,0.0,0.334853,0.600147,0.600419,1.0
c2-Geo,geometric,2,1000000,0.3,0.300072,4.770135167559785,0.769222053373857,0.226409,0.0,0.004418,0.600147,0.3002095,1.0
c1-D,deterministic,1,1000000,0.35,0.34945,5.157255687508942,1.1572556875089426,0.404403,0.0,0.0,0.6989,0.6989,1.0
c2-D,deterministic,2,1000000,0.35,0.34945,5.157255687508942,1.1572556875089426,0.404403,0.0,0.0,0.6989,0.34945,1.0
c1-Geo,geometric,1,1000000,0.35,0.349449,6.918560362170159,2.9207466611723025,0.404403,0.0,0.616249,0.6989,0.698137,1.0
c2-Geo,geometric,2,1000000,0.35,0.349449,5.174912505115196,1.177098804117339,0.404403,0.0,0.006933,0.6989,0.3490685,1.0
c1-D,deterministic,1,1000000,0.4,0.400203,6.017551092820393,2.0175510928203937,0.80743,0.0,0.0,0.800408,0.800407,1.0
c2-D,deterministic,2,1000000,0.4,0.400203,6.017551092820393,2.0175510928203937,0.80743,0.0,0.0,0.800408,0.4002035,1.0
c1-Geo,geometric,1,1000000,0.4,0.400202,9.06683125021864,5.062173602330823,0.80743,0.0,1.218464,0.800408,0.802273,1.0
c2-Geo,geometric,2,1000000,0.4,0.400202,6.049899800600697,2.04524215271288,0.80743,0.0,0.011081,0.800408,0.401137,1.0
c1-D,deterministic,1,1000000,0.45,0.450194,8.519209496350463,4.519209496350462,2.034594,0.0,0.0,0.900391,0.900389,1.0
c2-D,deterministic,2,1000000,0.45,0.450194,8.519209496350463,4.519209496350462,2.034594,0.0,0.0,0.900391,0.4501945,1.0
c1-Geo,geometric,1,1000000,0.45,0.450187,15.350003443013682,11.351882662093752,2.034594,0.0,3.076096,0.900391,0.899529,1.0
c2-Geo,geometric,2,1000000,0.45,0.450194,8.548856715105044,4.550744790023856,2.034594,0.0,0.014197,0.900391,0.4497695,1.0
c1-D,deterministic,1,1000000,0.49,0.490475,28.822845201080586,24.822845201080586,12.175001,0.0,0.0,0.980954,0.980952,1.0
c2-D,deterministic,2,1000000,0.49,0.490475,28.822845201080586,24.822845201080586,12.175001,0.0,0.0,0.980954,0.490476,1.0
