B,tau,lam,delta,s_base,sim_length,seed,throughput,batch_rate,W_e2e_sojourn,W_e2e_qwait,Lq_Q1,Lq_Q2,Lq_Q3,util_Q1,util_Q3,mean_batch_fill,mean_batch_service
1,2,0.3,0.5,2.0,1000000,20260922,0.299826,0.299826,4.750135078345441,0.7501350783454404,0.22491,0.0,0.0,0.599653,0.599652,1.0,2.0
1,8,0.3,0.5,2.0,1000000,20260922,0.299826,0.299826,4.750135078345441,0.7501350783454404,0.22491,0.0,0.0,0.599653,0.599652,1.0,2.0
2,2,0.3,0.5,2.0,1000000,20260922,0.299824,0.19035973019017696,6.750140082181547,2.019951705000267,0.22491,0.380722,0.0,0.599653,0.490187,1.575039004838176,2.5750561818420503
2,8,0.3,0.5,2.0,1000000,20260922,0.299824,0.15354297577928533,7.357096163082342,2.38131703932974,0.22491,0.489068,0.0,0.599653,0.45337,1.952704110873756,2.952723807122961
4,2,0.3,0.5,2.0,1000000,20260922,0.299824,0.19035973019017696,6.750140082181547,2.019951705000267,0.22491,0.380722,0.0,0.599653,0.490187,1.575039004838176,2.5750561818420503
4,8,0.3,0.5,2.0,1000000,20260922,0.299822,0.09445873980241873,10.434434431095783,4.871116862671852,0.22491,1.235574,0.0,0.599653,0.322075,3.1741054414567014,3.4096897827950157
8,2,0.3,0.5,2.0,1000000,20260922,0.299824,0.19035973019017696,6.750140082181547,2.019951705000267,0.22491,0.380722,0.0,0.599653,0.490187,1.575039004838176,2.5750561818420503
8,8,0.3,0.5,2.0,1000000,20260922,0.299822,0.09006379843642645,10.966493452781984,5.38982462928004,0.22491,1.391094,0.0,0.599653,0.306065,3.3289957253094986,3.3983132547539934
16,2,0.3,0.5,2.0,1000000,20260922,0.299824,0.19035973019017696,6.750140082181547,2.019951705000267,0.22491,0.380722,0.0,0.599653,0.490187,1.575039004838176,2.5750561818420503
16,8,0.3,0.5,2.0,1000000,20260922,0.299822,0.09006379843642645,10.966493452781984,5.38982462928004,0.22491,1.391094,0.0,0.599653,0.306065,3.3289957253094986,3.3983132547539934
1,2,0.3,0.5,2.0,10000000,20260922,0.2999543,0.2999543,4.7523329387176645,0.7523329387176647,0.2256655,0.0,0.0,0.5999088,0.5999088,1.0,2.0000006667682375
1,8,0.3,0.5,2.0,10000000,20260922,0.2999543,0.2999543,4.7523329387176645,0.7523329387176647,0.2256655,0.0,0.0,0.5999088,0.5999088,1.0,2.0000006667682375
2,2,0.3,0.5,2.0,10000000,20260922,0.2999543,0.1906139,6.7523329387176645,2.023285880549137,0.2256655,0.381228,0.0,0.5999088,0.4905682,1.5736223853559472,2.5736223853559475
2,8,0.3,0.5,2.0,10000000,20260922,0.2999542,0.15362209756963058,7.359815931898937,2.384119642265386,0.2256655,0.4894621,0.0,0.5999088,0.4535765,1.9525459210973415,2.95254723881382
4,2,0.3,0.5,2.0,10000000,20260922,0.2999543,0.1906139,6.7523329387176645,2.023285880549137,0.2256655,0.381228,0.0,0.5999088,0.4905682,1.5736223853559472,2.5736223853559475
4,8,0.3,0.5,2.0,10000000,20260922,0.2999543,0.0945535,10.438200085813072,4.874604898146151,0.2256655,1.2364934,0.0,0.5999088,0.3223789,3.172323605154754,3.409486692718937
8,2,0.3,0.5,2.0,10000000,20260922,0.2999543,0.1906139,6.7523329387176645,2.023285880549137,0.2256655,0.381228,0.0,0.5999088,0.4905682,1.5736223853559472,2.5736223853559475
8,8,0.3,0.5,2.0,10000000,20260922,0.2999541,0.09009240989380386,10.968806560737127,5.390688441998292,0.2256655,1.3912956,0.0,0.5999088,0.3062968,3.329404778422177,3.399806935579216
16,2,0.3,0.5,2.0,10000000,20260922,0.2999543,0.1906139,6.7523329387176645,2.023285880549137,0.2256655,0.381228,0.0,0.5999088,0.4905682,1.5736223853559472,2.5736223853559475
16,8,0.3,0.5,2.0,10000000,20260922,0.2999541,0.09009240989380386,10.968806560737127,5.390688441998292,0.2256655,1.3912956,0.0,0.5999088,0.3062968,3.329404778422177,3.399806935579216
