B,trial,wall_time_s,generated_tokens,total_generated_tokens,min_generated_tokens,max_generated_tokens,request_throughput_req_s,token_throughput_tok_s
1,1,3.327498472000002,[87],87,87,87,0.3005260583632807,26.145767077605424
1,2,3.67477650699999,[96],96,96,96,0.2721253926858205,26.124037697838766
1,3,4.357325879999962,[96],96,96,96,0.22949855657801033,22.03186143148899
1,4,3.8579925540000204,[96],96,96,96,0.2592021591548138,24.88340727886213
1,5,3.7417271809999875,[96],96,96,96,0.2672562567035545,25.656600643541232
1,6,4.120501565999973,[96],96,96,96,0.24268890181996997,23.298134574717118
1,7,3.8638519159999873,[96],96,96,96,0.2588090904465199,24.845672682865914
1,8,3.6986420729999736,[96],96,96,96,0.27036949784894937,25.95547179349914
1,9,3.901547669000024,[96],96,96,96,0.25630854338793774,24.605620165242023
1,10,4.134024479999994,[96],96,96,96,0.2418950358997394,23.221923446374984
2,1,3.5378250780000258,"[87, 96]",183,87,96,0.5653190748284885,51.72669534680671
2,2,3.501082777000022,"[96, 96]",192,96,96,0.5712518461827809,54.84017723354697
2,3,4.19808633599996,"[96, 96]",192,96,96,0.47640754380140954,45.73512420493532
2,4,3.635583523999969,"[96, 96]",192,96,96,0.5501180173133651,52.811329662083054
2,5,3.725909592999983,"[96, 96]",192,96,96,0.5367816770856386,51.53104100022131
2,6,4.129927108999993,"[96, 96]",192,96,96,0.48427004816660635,46.489924623994206
2,7,3.5233525759999793,"[96, 96]",192,96,96,0.5676411760842216,54.49355290408527
2,8,3.6662189500000295,"[96, 96]",192,96,96,0.5455211560673385,52.3700309824645
2,9,4.148878707999984,"[96, 96]",192,96,96,0.4820579584897346,46.277564015014526
2,10,3.886672457999964,"[96, 96]",192,96,96,0.5145789931136046,49.399583338906034
4,1,3.51354584500001,"[87, 96, 96, 96]",375,87,96,1.1384510623910724,106.72978709916305
4,2,3.7553658810000456,"[96, 96, 96, 96]",384,96,96,1.065142552484076,102.25368503847132
4,3,3.8894214050000073,"[96, 96, 96, 96]",384,96,96,1.0284306027775338,98.72933786664325
4,4,3.5260246240000015,"[96, 96, 96, 96]",384,96,96,1.1344220266568388,108.90451455905654
4,5,10.64572666600003,"[96, 96, 96, 96]",384,96,96,0.37573761993862453,36.07081151410796
4,6,3.779270006000047,"[96, 96, 96, 96]",384,96,96,1.0584054575750126,101.6069239272012
4,7,3.7057840040000087,"[96, 96, 96, 96]",384,96,96,1.0793937249668129,103.62179759681403
