B,trial,sequence,prompt_index,generated_tokens,wall_time_s
1,1,0,0,87,3.327498472000002
1,2,0,1,96,3.67477650699999
1,3,0,2,96,4.357325879999962
1,4,0,3,96,3.8579925540000204
1,5,0,4,96,3.7417271809999875
1,6,0,5,96,4.120501565999973
1,7,0,6,96,3.8638519159999873
1,8,0,7,96,3.6986420729999736
1,9,0,8,96,3.901547669000024
1,10,0,9,96,4.134024479999994
2,1,0,0,87,3.5378250780000258
2,1,1,1,96,3.5378250780000258
2,2,0,2,96,3.501082777000022
2,2,1,3,96,3.501082777000022
2,3,0,4,96,4.19808633599996
2,3,1,5,96,4.19808633599996
2,4,0,6,96,3.635583523999969
2,4,1,7,96,3.635583523999969
2,5,0,8,96,3.725909592999983
2,5,1,9,96,3.725909592999983
2,6,0,10,96,4.129927108999993
2,6,1,11,96,4.129927108999993
2,7,0,12,96,3.5233525759999793
2,7,1,13,96,3.5233525759999793
2,8,0,14,96,3.6662189500000295
2,8,1,15,96,3.6662189500000295
2,9,0,16,96,4.148878707999984
2,9,1,17,96,4.148878707999984
2,10,0,18,96,3.886672457999964
2,10,1,19,96,3.886672457999964
4,1,0,0,87,3.51354584500001
4,1,1,1,96,3.51354584500001
4,1,2,2,96,3.51354584500001
4,1,3,3,96,3.51354584500001
4,2,0,4,96,3.7553658810000456
4,2,1,5,96,3.7553658810000456
4,2,2,6,96,3.7553658810000456
4,2,3,7,96,3.7553658810000456
4,3,0,8,96,3.8894214050000073
4,3,1,9,96,3.8894214050000073
4,3,2,10,96,3.8894214050000073
4,3,3,11,96,3.8894214050000073
4,4,0,12,96,3.5260246240000015
4,4,1,13,96,3.5260246240000015
4,4,2,14,96,3.5260246240000015
4,4,3,15,96,3.5260246240000015
4,5,0,16,96,10.64572666600003
4,5,1,17,96,10.64572666600003
4,5,2,18,96,10.64572666600003
4,5,3,19,96,10.64572666600003
4,6,0,20,96,3.779270006000047
4,6,1,21,96,3.779270006000047
4,6,2,22,96,3.779270006000047
4,6,3,23,96,3.779270006000047
4,7,0,24,96,3.7057840040000087
4,7,1,25,96,3.7057840040000087
4,7,2,26,96,3.7057840040000087
4,7,3,27,96,3.7057840040000087
4,8,0,28,96,3.8791811970000367
4,8,1,29,96,3.8791811970000367
4,8,2,30,96,3.8791811970000367
4,8,3,31,96,3.8791811970000367
4,9,0,32,96,3.5817439659999764
4,9,1,33,96,3.5817439659999764
4,9,2,34,96,3.5817439659999764
4,9,3,35,96,3.5817439659999764
4,10,0,36,96,3.5410972990000005
4,10,1,37,96,3.5410972990000005
4,10,2,38,96,3.5410972990000005
4,10,3,39,96,3.5410972990000005
8,1,0,0,87,4.243087643000024
8,1,1,1,96,4.243087643000024
8,1,2,2,96,4.243087643000024
8,1,3,3,96,4.243087643000024
8,1,4,4,96,4.243087643000024
8,1,5,5,96,4.243087643000024
8,1,6,6,96,4.243087643000024
8,1,7,7,96,4.243087643000024
8,2,0,8,96,3.589964903000009
8,2,1,9,96,3.589964903000009
8,2,2,10,96,3.589964903000009
8,2,3,11,96,3.589964903000009
8,2,4,12,96,3.589964903000009
8,2,5,13,96,3.589964903000009
8,2,6,14,96,3.589964903000009
8,2,7,15,96,3.589964903000009
8,3,0,16,96,3.5810418039999945
8,3,1,17,96,3.5810418039999945
8,3,2,18,96,3.5810418039999945
8,3,3,19,96,3.5810418039999945
8,3,4,20,96,3.5810418039999945
8,3,5,21,96,3.5810418039999945
8,3,6,22,96,3.5810418039999945
8,3,7,23,96,3.5810418039999945
8,4,0,24,96,4.1809472809999875
8,4,1,25,96,4.1809472809999875
8,4,2,26,96,4.1809472809999875
8,4,3,27,96,4.1809472809999875
8,4,4,28,96,4.1809472809999875
8,4,5,29,96,4.1809472809999875
8,4,6,30,96,4.1809472809999875
8,4,7,31,96,4.1809472809999875
8,5,0,32,96,3.5966234580000105
8,5,1,33,96,3.5966234580000105
8,5,2,34,96,3.5966234580000105
8,5,3,35,96,3.5966234580000105
8,5,4,36,96,3.5966234580000105
8,5,5,37,96,3.5966234580000105
8,5,6,38,96,3.5966234580000105
8,5,7,39,96,3.5966234580000105
8,6,0,40,96,3.5600826509999592
8,6,1,41,96,3.5600826509999592
8,6,2,42,96,3.5600826509999592
8,6,3,43,96,3.5600826509999592
8,6,4,44,96,3.5600826509999592
8,6,5,45,96,3.5600826509999592
8,6,6,46,96,3.5600826509999592
8,6,7,47,96,3.5600826509999592
8,7,0,48,96,4.055526046000011
8,7,1,49,96,4.055526046000011
8,7,2,50,96,4.055526046000011
8,7,3,51,96,4.055526046000011
8,7,4,52,96,4.055526046000011
8,7,5,53,96,4.055526046000011
8,7,6,54,96,4.055526046000011
8,7,7,55,96,4.055526046000011
8,8,0,56,96,3.650210130000005
8,8,1,57,96,3.650210130000005
8,8,2,58,96,3.650210130000005
8,8,3,59,96,3.650210130000005
8,8,4,60,96,3.650210130000005
8,8,5,61,96,3.650210130000005
8,8,6,62,83,3.650210130000005
8,8,7,63,96,3.650210130000005
8,9,0,64,96,3.5981180169999902
8,9,1,65,96,3.5981180169999902
8,9,2,66,96,3.5981180169999902
8,9,3,67,96,3.5981180169999902
8,9,4,68,96,3.5981180169999902
8,9,5,69,96,3.5981180169999902
8,9,6,70,96,3.5981180169999902
8,9,7,71,96,3.5981180169999902
8,10,0,72,96,3.9408679280000456
8,10,1,73,96,3.9408679280000456
8,10,2,74,96,3.9408679280000456
8,10,3,75,96,3.9408679280000456
8,10,4,76,96,3.9408679280000456
8,10,5,77,96,3.9408679280000456
8,10,6,78,96,3.9408679280000456
8,10,7,79,96,3.9408679280000456
16,1,0,0,87,4.126184942999998
16,1,1,1,96,4.126184942999998
16,1,2,2,96,4.126184942999998
16,1,3,3,96,4.126184942999998
16,1,4,4,96,4.126184942999998
16,1,5,5,96,4.126184942999998
16,1,6,6,96,4.126184942999998
16,1,7,7,96,4.126184942999998
16,1,8,8,96,4.126184942999998
16,1,9,9,96,4.126184942999998
16,1,10,10,96,4.126184942999998
16,1,11,11,96,4.126184942999998
16,1,12,12,96,4.126184942999998
16,1,13,13,96,4.126184942999998
16,1,14,14,96,4.126184942999998
16,1,15,15,96,4.126184942999998
16,2,0,16,96,3.6994052839999654
16,2,1,17,96,3.6994052839999654
16,2,2,18,96,3.6994052839999654
16,2,3,19,96,3.6994052839999654
16,2,4,20,96,3.6994052839999654
16,2,5,21,96,3.6994052839999654
16,2,6,22,96,3.6994052839999654
16,2,7,23,96,3.6994052839999654
16,2,8,24,96,3.6994052839999654
16,2,9,25,96,3.6994052839999654
16,2,10,26,96,3.6994052839999654
16,2,11,27,96,3.6994052839999654
16,2,12,28,96,3.6994052839999654
16,2,13,29,96,3.6994052839999654
16,2,14,30,96,3.6994052839999654
16,2,15,31,96,3.6994052839999654
16,3,0,32,96,3.743413897000039
16,3,1,33,96,3.743413897000039
16,3,2,34,96,3.743413897000039
16,3,3,35,96,3.743413897000039
16,3,4,36,96,3.743413897000039
16,3,5,37,96,3.743413897000039
16,3,6,38,96,3.743413897000039
16,3,7,39,96,3.743413897000039
16,3,8,40,96,3.743413897000039
16,3,9,41,96,3.743413897000039
16,3,10,42,96,3.743413897000039
16,3,11,43,96,3.743413897000039
16,3,12,44,96,3.743413897000039
16,3,13,45,96,3.743413897000039
16,3,14,46,96,3.743413897000039
16,3,15,47,96,3.743413897000039
16,4,0,48,96,4.159564542999988
16,4,1,49,96,4.159564542999988
16,4,2,50,96,4.159564542999988
16,4,3,51,96,4.159564542999988
16,4,4,52,96,4.159564542999988
16,4,5,53,96,4.159564542999988
16,4,6,54,96,4.159564542999988
16,4,7,55,96,4.159564542999988
16,4,8,56,96,4.159564542999988
16,4,9,57,96,4.159564542999988
16,4,10,58,96,4.159564542999988
16,4,11,59,96,4.159564542999988
16,4,12,60,96,4.159564542999988
16,4,13,61,96,4.159564542999988
16,4,14,62,83,4.159564542999988
16,4,15,63,96,4.159564542999988
16,5,0,64,96,3.6040183540000044
16,5,1,65,96,3.6040183540000044
16,5,2,66,96,3.6040183540000044
16,5,3,67,96,3.6040183540000044
16,5,4,68,96,3.6040183540000044
16,5,5,69,96,3.6040183540000044
16,5,6,70,96,3.6040183540000044
16,5,7,71,96,3.6040183540000044
16,5,8,72,96,3.6040183540000044
16,5,9,73,96,3.6040183540000044
16,5,10,74,96,3.6040183540000044
16,5,11,75,96,3.6040183540000044
16,5,12,76,96,3.6040183540000044
16,5,13,77,96,3.6040183540000044
16,5,14,78,96,3.6040183540000044
16,5,15,79,96,3.6040183540000044
16,6,0,80,96,3.6354149000000007
16,6,1,81,96,3.6354149000000007
16,6,2,82,96,3.6354149000000007
16,6,3,83,96,3.6354149000000007
16,6,4,84,96,3.6354149000000007
16,6,5,85,96,3.6354149000000007
16,6,6,86,96,3.6354149000000007
16,6,7,87,96,3.6354149000000007
16,6,8,88,96,3.6354149000000007
16,6,9,89,96,3.6354149000000007
16,6,10,90,96,3.6354149000000007
16,6,11,91,96,3.6354149000000007
16,6,12,92,96,3.6354149000000007
16,6,13,93,96,3.6354149000000007
16,6,14,94,96,3.6354149000000007
16,6,15,95,96,3.6354149000000007
16,7,0,96,96,4.347740706999957
16,7,1,97,96,4.347740706999957
16,7,2,98,96,4.347740706999957
16,7,3,99,96,4.347740706999957
16,7,4,0,87,4.347740706999957
16,7,5,1,96,4.347740706999957
16,7,6,2,96,4.347740706999957
16,7,7,3,96,4.347740706999957
16,7,8,4,96,4.347740706999957
16,7,9,5,96,4.347740706999957
16,7,10,6,96,4.347740706999957
16,7,11,7,96,4.347740706999957
16,7,12,8,96,4.347740706999957
16,7,13,9,96,4.347740706999957
16,7,14,10,96,4.347740706999957
16,7,15,11,96,4.347740706999957
16,8,0,12,96,3.6503555739999456
16,8,1,13,96,3.6503555739999456
16,8,2,14,96,3.6503555739999456
16,8,3,15,96,3.6503555739999456
16,8,4,16,96,3.6503555739999456
16,8,5,17,96,3.6503555739999456
16,8,6,18,96,3.6503555739999456
16,8,7,19,96,3.6503555739999456
16,8,8,20,96,3.6503555739999456
16,8,9,21,96,3.6503555739999456
16,8,10,22,96,3.6503555739999456
16,8,11,23,96,3.6503555739999456
16,8,12,24,96,3.6503555739999456
16,8,13,25,96,3.6503555739999456
16,8,14,26,96,3.6503555739999456
16,8,15,27,96,3.6503555739999456
16,9,0,28,96,3.6127181770000334
16,9,1,29,96,3.6127181770000334
16,9,2,30,96,3.6127181770000334
16,9,3,31,96,3.6127181770000334
16,9,4,32,96,3.6127181770000334
16,9,5,33,96,3.6127181770000334
16,9,6,34,96,3.6127181770000334
16,9,7,35,96,3.6127181770000334
16,9,8,36,96,3.6127181770000334
16,9,9,37,96,3.6127181770000334
16,9,10,38,96,3.6127181770000334
16,9,11,39,96,3.6127181770000334
16,9,12,40,96,3.6127181770000334
16,9,13,41,96,3.6127181770000334
16,9,14,42,96,3.6127181770000334
16,9,15,43,96,3.6127181770000334
16,10,0,44,96,4.211170723000009
16,10,1,45,96,4.211170723000009
16,10,2,46,96,4.211170723000009
16,10,3,47,96,4.211170723000009
16,10,4,48,96,4.211170723000009
16,10,5,49,96,4.211170723000009
16,10,6,50,96,4.211170723000009
16,10,7,51,96,4.211170723000009
16,10,8,52,96,4.211170723000009
16,10,9,53,96,4.211170723000009
16,10,10,54,96,4.211170723000009
16,10,11,55,96,4.211170723000009
16,10,12,56,96,4.211170723000009
16,10,13,57,96,4.211170723000009
16,10,14,58,96,4.211170723000009
16,10,15,59,96,4.211170723000009
32,1,0,0,87,3.773851019999938
32,1,1,1,96,3.773851019999938
32,1,2,2,96,3.773851019999938
32,1,3,3,96,3.773851019999938
32,1,4,4,96,3.773851019999938
32,1,5,5,96,3.773851019999938
32,1,6,6,96,3.773851019999938
32,1,7,7,96,3.773851019999938
32,1,8,8,96,3.773851019999938
32,1,9,9,96,3.773851019999938
32,1,10,10,96,3.773851019999938
32,1,11,11,96,3.773851019999938
32,1,12,12,96,3.773851019999938
32,1,13,13,96,3.773851019999938
32,1,14,14,96,3.773851019999938
32,1,15,15,96,3.773851019999938
32,1,16,16,96,3.773851019999938
32,1,17,17,96,3.773851019999938
32,1,18,18,96,3.773851019999938
32,1,19,19,96,3.773851019999938
32,1,20,20,96,3.773851019999938
32,1,21,21,96,3.773851019999938
32,1,22,22,96,3.773851019999938
32,1,23,23,96,3.773851019999938
32,1,24,24,96,3.773851019999938
32,1,25,25,96,3.773851019999938
32,1,26,26,96,3.773851019999938
32,1,27,27,96,3.773851019999938
32,1,28,28,96,3.773851019999938
32,1,29,29,96,3.773851019999938
32,1,30,30,96,3.773851019999938
32,1,31,31,96,3.773851019999938
32,2,0,32,96,3.7617111980000573
32,2,1,33,96,3.7617111980000573
32,2,2,34,96,3.7617111980000573
32,2,3,35,96,3.7617111980000573
32,2,4,36,96,3.7617111980000573
32,2,5,37,96,3.7617111980000573
32,2,6,38,96,3.7617111980000573
32,2,7,39,96,3.7617111980000573
32,2,8,40,96,3.7617111980000573
32,2,9,41,96,3.7617111980000573
32,2,10,42,96,3.7617111980000573
32,2,11,43,96,3.7617111980000573
32,2,12,44,96,3.7617111980000573
32,2,13,45,96,3.7617111980000573
32,2,14,46,96,3.7617111980000573
32,2,15,47,96,3.7617111980000573
32,2,16,48,96,3.7617111980000573
32,2,17,49,96,3.7617111980000573
32,2,18,50,96,3.7617111980000573
32,2,19,51,96,3.7617111980000573
32,2,20,52,96,3.7617111980000573
32,2,21,53,96,3.7617111980000573
32,2,22,54,96,3.7617111980000573
32,2,23,55,96,3.7617111980000573
32,2,24,56,96,3.7617111980000573
32,2,25,57,96,3.7617111980000573
32,2,26,58,96,3.7617111980000573
32,2,27,59,96,3.7617111980000573
32,2,28,60,96,3.7617111980000573
32,2,29,61,96,3.7617111980000573
32,2,30,62,83,3.7617111980000573
32,2,31,63,96,3.7617111980000573
32,3,0,64,96,4.415143636000039
32,3,1,65,96,4.415143636000039
32,3,2,66,96,4.415143636000039
32,3,3,67,96,4.415143636000039
32,3,4,68,96,4.415143636000039
32,3,5,69,96,4.415143636000039
32,3,6,70,96,4.415143636000039
32,3,7,71,96,4.415143636000039
32,3,8,72,96,4.415143636000039
32,3,9,73,96,4.415143636000039
32,3,10,74,96,4.415143636000039
32,3,11,75,96,4.415143636000039
32,3,12,76,96,4.415143636000039
32,3,13,77,96,4.415143636000039
32,3,14,78,96,4.415143636000039
32,3,15,79,96,4.415143636000039
32,3,16,80,96,4.415143636000039
32,3,17,81,96,4.415143636000039
32,3,18,82,96,4.415143636000039
32,3,19,83,96,4.415143636000039
32,3,20,84,96,4.415143636000039
32,3,21,85,96,4.415143636000039
32,3,22,86,96,4.415143636000039
32,3,23,87,96,4.415143636000039
32,3,24,88,96,4.415143636000039
32,3,25,89,96,4.415143636000039
32,3,26,90,96,4.415143636000039
32,3,27,91,96,4.415143636000039
32,3,28,92,96,4.415143636000039
32,3,29,93,96,4.415143636000039
32,3,30,94,96,4.415143636000039
32,3,31,95,96,4.415143636000039
32,4,0,96,96,3.8254962150000438
32,4,1,97,96,3.8254962150000438
32,4,2,98,96,3.8254962150000438
32,4,3,99,96,3.8254962150000438
32,4,4,0,87,3.8254962150000438
32,4,5,1,96,3.8254962150000438
32,4,6,2,96,3.8254962150000438
32,4,7,3,96,3.8254962150000438
32,4,8,4,96,3.8254962150000438
32,4,9,5,96,3.8254962150000438
32,4,10,6,96,3.8254962150000438
32,4,11,7,96,3.8254962150000438
32,4,12,8,96,3.8254962150000438
32,4,13,9,96,3.8254962150000438
32,4,14,10,96,3.8254962150000438
32,4,15,11,96,3.8254962150000438
32,4,16,12,96,3.8254962150000438
32,4,17,13,96,3.8254962150000438
32,4,18,14,96,3.8254962150000438
32,4,19,15,96,3.8254962150000438
