B,trial,input_tokens,padded_input_length,peak_allocated_bytes,output_width,completed_utc
1,1,[34],34,3104156160,87,2026-09-20T13:28:18.322892+00:00
1,2,[39],39,3104845824,96,2026-09-20T13:28:22.019668+00:00
1,3,[41],41,3104944640,96,2026-09-20T13:28:26.382915+00:00
1,4,[34],34,3104600576,96,2026-09-20T13:28:30.246773+00:00
1,5,[36],36,3104698880,96,2026-09-20T13:28:33.994052+00:00
1,6,[35],35,3104649728,96,2026-09-20T13:28:38.119945+00:00
1,7,[35],35,3104649728,96,2026-09-20T13:28:41.990218+00:00
1,8,[37],37,3104748032,96,2026-09-20T13:28:45.694011+00:00
1,9,[34],34,3104600576,96,2026-09-20T13:28:49.600897+00:00
1,10,[34],34,3104600576,96,2026-09-20T13:28:53.741669+00:00
2,1,"[34, 39]",39,3108958208,96,2026-09-20T13:28:57.528453+00:00
2,2,"[41, 34]",41,3109073920,96,2026-09-20T13:29:01.035468+00:00
2,3,"[36, 35]",36,3108787200,96,2026-09-20T13:29:05.239365+00:00
2,4,"[35, 37]",37,3108844544,96,2026-09-20T13:29:08.881001+00:00
2,5,"[34, 34]",34,3112191488,96,2026-09-20T13:29:12.613044+00:00
2,6,"[36, 34]",36,3108787200,96,2026-09-20T13:29:16.749000+00:00
2,7,"[34, 36]",36,3108787200,96,2026-09-20T13:29:20.278329+00:00
2,8,"[33, 33]",33,3112091648,96,2026-09-20T13:29:23.950633+00:00
2,9,"[33, 34]",34,3108672512,96,2026-09-20T13:29:28.105753+00:00
2,10,"[35, 35]",35,3112289792,96,2026-09-20T13:29:32.000417+00:00
4,1,"[34, 39, 41, 34]",41,3121649152,96,2026-09-20T13:29:35.771336+00:00
4,2,"[36, 35, 35, 37]",37,3121143296,96,2026-09-20T13:29:39.534097+00:00
4,3,"[34, 34, 36, 34]",36,3121016320,96,2026-09-20T13:29:43.433789+00:00
4,4,"[34, 36, 33, 33]",36,3121016320,96,2026-09-20T13:29:46.966980+00:00
