B,trial,wall_time_s,generated_tokens,total_generated_tokens,min_generated_tokens,max_generated_tokens,request_throughput_req_s,token_throughput_tok_s
1,1,3.779447424999944,[87],87,87,87,0.2645889431839404,23.019238057002816
1,2,4.0771631800000705,[96],96,96,96,0.24526857421487425,23.545783124627928
1,3,4.158263739000176,[96],96,96,96,0.24048498670756333,23.08655872392608
1,4,4.051471131999961,[96],96,96,96,0.24682392331556904,23.69509663829463
1,5,4.035715486999834,[96],96,96,96,0.24778753686212002,23.787603538763523
1,6,4.108572441999968,[96],96,96,96,0.24339354218936948,23.36578005017947
1,7,4.084768681000014,[96],96,96,96,0.24481190444184092,23.501942826416727
1,8,4.212658238000131,[96],96,96,96,0.23737980712024923,22.788461483543923
1,9,4.110128014000111,[96],96,96,96,0.2433014243336833,23.356936736033596
1,10,4.069979431999855,[96],96,96,96,0.24570148736811498,23.587342787339036
2,1,3.738550800000212,"[87, 96]",183,87,96,0.5349666507139308,48.94944854032467
2,2,3.8549758189999466,"[96, 96]",192,96,96,0.5188099987923758,49.805759884068074
2,3,3.969386758000155,"[96, 96]",192,96,96,0.5038561676987188,48.37019209907701
2,4,3.7720166869999048,"[96, 96]",192,96,96,0.5302203478825837,50.90115339672803
2,5,3.948532118000003,"[96, 96]",192,96,96,0.5065173437193752,48.62566499706002
2,6,3.7257394690000183,"[96, 96]",192,96,96,0.5368061875074686,51.533394000716974
2,7,3.7716969880000306,"[96, 96]",192,96,96,0.53026529075988,50.90546791294848
2,8,4.0909905129999515,"[96, 96]",192,96,96,0.4888791586400884,46.932399229448485
2,9,3.7524118960000123,"[96, 96]",192,96,96,0.5329905286069356,51.16709074626581
2,10,4.06674747299985,"[96, 96]",192,96,96,0.4917935065500128,47.21217662880123
4,1,3.8398489639998843,"[87, 96, 96, 96]",375,87,96,1.041707639415403,97.66009119519403
4,2,3.786340735000067,"[96, 96, 96, 96]",384,96,96,1.0564289587106928,101.41718003622651
4,3,3.849691903000121,"[96, 96, 96, 96]",384,96,96,1.0390441886746162,99.74824211276315
4,4,3.7971927290000167,"[96, 96, 96, 96]",384,96,96,1.0534097912521265,101.12733996020414
4,5,3.8403743530000156,"[96, 96, 96, 96]",384,96,96,1.0415651268151211,99.99025217425162
4,6,4.103935046999823,"[96, 96, 96, 96]",384,96,96,0.9746742953264321,93.56873235133747
4,7,3.7413522449999164,"[96, 96, 96, 96]",384,96,96,1.0691321581243118,102.63668717993394
4,8,3.7376885359999505,"[96, 96, 96, 96]",384,96,96,1.0701801291021358,102.73729239380503
4,9,3.8421859170000516,"[96, 96, 96, 96]",384,96,96,1.0410740360849504,99.94310746415523
4,10,3.718515168000067,"[96, 96, 96, 96]",384,96,96,1.0756981803979904,103.26702531820708
8,1,4.1225837189999766,"[87, 96, 96, 96, 96, 96, 96, 96]",759,87,96,1.9405306344974786,184.10784394794828
8,2,3.8108536779998303,"[96, 96, 96, 96, 96, 96, 96, 96]",768,96,96,2.0992671658280226,201.52964791949017
8,3,3.8938652080000793,"[96, 96, 96, 96, 96, 96, 96, 96]",768,96,96,2.054513850033567,197.23332960322244
8,4,3.941889442000047,"[96, 96, 96, 96, 96, 96, 96, 96]",768,96,96,2.029483606202039,194.83042619539577
8,5,3.808408886000052,"[96, 96, 96, 96, 96, 96, 96, 96]",768,96,96,2.1006147815189955,201.65901902582357
8,6,3.8320248429999992,"[96, 96, 96, 96, 96, 96, 96, 96]",768,96,96,2.0876691377963494,200.41623722844955
8,7,3.766724752000073,"[96, 96, 96, 96, 96, 96, 96, 96]",768,96,96,2.1238610534927256,203.89066113530166
8,8,3.7719492430001083,"[96, 96, 96, 96, 96, 96, 83, 96]",755,83,96,2.1209193137596443,200.16176023606644
8,9,3.8784863490000134,"[96, 96, 96, 96, 96, 96, 96, 96]",768,96,96,2.062660347396255,198.01539335004048
8,10,3.8262920780000513,"[96, 96, 96, 96, 96, 96, 96, 96]",768,96,96,2.0907970005733296,200.71651205503966
16,1,4.012569760000133,"[87, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96]",1527,87,96,3.9874696159798275,380.5541314750748
16,2,4.119060621000017,"[96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96]",1536,96,96,3.8843808023673985,372.9005570272702
16,3,4.032267332999936,"[96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96]",1536,96,96,3.9679908792397156,380.9271244070127
16,4,4.050426323000011,"[96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 83, 96]",1523,83,96,3.950201466237103,376.00980206744424
16,5,3.9358426119999876,"[96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96]",1536,96,96,4.065203204827757,390.25950766346466
16,6,3.96945510799992,"[96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96]",1536,96,96,4.030779934443416,386.9548737065679
16,7,3.8906042349999552,"[96, 96, 96, 96, 87, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96]",1527,87,96,4.112471748234804,392.48402247215915
16,8,3.9078582880001704,"[96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96]",1536,96,96,4.094314281848724,393.05417105747745
16,9,3.963010590999829,"[96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96]",1536,96,96,4.03733465571268,387.5841269484173
16,10,3.9155471690000923,"[96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96]",1536,96,96,4.0862743594749995,392.2823385096
32,1,4.131517561999999,"[87, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96]",3063,87,96,7.745338007109749,741.3740723680362
32,2,4.17521684899998,"[96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 83, 96]",3059,83,96,7.664272577282883,732.6565566846357
32,3,4.094660347000172,"[96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96]",3072,96,96,7.815056021299502,750.2453780447521
32,4,4.102041357999951,"[96, 96, 96, 96, 87, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96]",3063,87,96,7.800993994756398,746.701393935589
32,5,4.072616665999931,"[96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96]",3072,96,96,7.857356246452227,754.3061996594138
32,6,4.0886442969999734,"[96, 96, 83, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96]",3059,83,96,7.826555130628476,748.1697545185159
32,7,4.042136739000171,"[96, 96, 96, 96, 96, 96, 96, 96, 87, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96]",3063,87,96,7.916605020124889,757.7675367700792
32,8,4.044758582999975,"[96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96]",3072,96,96,7.911473415124266,759.5014478519295
32,9,4.087887280000132,"[96, 96, 96, 96, 96, 96, 83, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96]",3059,83,96,7.828004494291968,748.3083046262228
32,10,4.039544909999904,"[96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 87, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96]",3063,87,96,7.921684425585643,758.2537311115258
