B,trial,sequence,prompt_index,generated_tokens,wall_time_s
1,1,0,0,87,3.779447424999944
1,2,0,1,96,4.0771631800000705
1,3,0,2,96,4.158263739000176
1,4,0,3,96,4.051471131999961
1,5,0,4,96,4.035715486999834
1,6,0,5,96,4.108572441999968
1,7,0,6,96,4.084768681000014
1,8,0,7,96,4.212658238000131
1,9,0,8,96,4.110128014000111
1,10,0,9,96,4.069979431999855
2,1,0,0,87,3.738550800000212
2,1,1,1,96,3.738550800000212
2,2,0,2,96,3.8549758189999466
2,2,1,3,96,3.8549758189999466
2,3,0,4,96,3.969386758000155
2,3,1,5,96,3.969386758000155
2,4,0,6,96,3.7720166869999048
2,4,1,7,96,3.7720166869999048
2,5,0,8,96,3.948532118000003
2,5,1,9,96,3.948532118000003
2,6,0,10,96,3.7257394690000183
2,6,1,11,96,3.7257394690000183
2,7,0,12,96,3.7716969880000306
2,7,1,13,96,3.7716969880000306
2,8,0,14,96,4.0909905129999515
2,8,1,15,96,4.0909905129999515
2,9,0,16,96,3.7524118960000123
2,9,1,17,96,3.7524118960000123
2,10,0,18,96,4.06674747299985
2,10,1,19,96,4.06674747299985
4,1,0,0,87,3.8398489639998843
4,1,1,1,96,3.8398489639998843
4,1,2,2,96,3.8398489639998843
4,1,3,3,96,3.8398489639998843
4,2,0,4,96,3.786340735000067
4,2,1,5,96,3.786340735000067
4,2,2,6,96,3.786340735000067
4,2,3,7,96,3.786340735000067
4,3,0,8,96,3.849691903000121
4,3,1,9,96,3.849691903000121
4,3,2,10,96,3.849691903000121
4,3,3,11,96,3.849691903000121
4,4,0,12,96,3.7971927290000167
4,4,1,13,96,3.7971927290000167
4,4,2,14,96,3.7971927290000167
4,4,3,15,96,3.7971927290000167
4,5,0,16,96,3.8403743530000156
4,5,1,17,96,3.8403743530000156
4,5,2,18,96,3.8403743530000156
4,5,3,19,96,3.8403743530000156
4,6,0,20,96,4.103935046999823
4,6,1,21,96,4.103935046999823
4,6,2,22,96,4.103935046999823
4,6,3,23,96,4.103935046999823
4,7,0,24,96,3.7413522449999164
4,7,1,25,96,3.7413522449999164
4,7,2,26,96,3.7413522449999164
4,7,3,27,96,3.7413522449999164
4,8,0,28,96,3.7376885359999505
4,8,1,29,96,3.7376885359999505
4,8,2,30,96,3.7376885359999505
4,8,3,31,96,3.7376885359999505
4,9,0,32,96,3.8421859170000516
4,9,1,33,96,3.8421859170000516
4,9,2,34,96,3.8421859170000516
4,9,3,35,96,3.8421859170000516
4,10,0,36,96,3.718515168000067
4,10,1,37,96,3.718515168000067
4,10,2,38,96,3.718515168000067
4,10,3,39,96,3.718515168000067
8,1,0,0,87,4.1225837189999766
8,1,1,1,96,4.1225837189999766
8,1,2,2,96,4.1225837189999766
8,1,3,3,96,4.1225837189999766
8,1,4,4,96,4.1225837189999766
8,1,5,5,96,4.1225837189999766
8,1,6,6,96,4.1225837189999766
8,1,7,7,96,4.1225837189999766
8,2,0,8,96,3.8108536779998303
8,2,1,9,96,3.8108536779998303
8,2,2,10,96,3.8108536779998303
8,2,3,11,96,3.8108536779998303
8,2,4,12,96,3.8108536779998303
8,2,5,13,96,3.8108536779998303
8,2,6,14,96,3.8108536779998303
8,2,7,15,96,3.8108536779998303
8,3,0,16,96,3.8938652080000793
8,3,1,17,96,3.8938652080000793
8,3,2,18,96,3.8938652080000793
8,3,3,19,96,3.8938652080000793
8,3,4,20,96,3.8938652080000793
8,3,5,21,96,3.8938652080000793
8,3,6,22,96,3.8938652080000793
8,3,7,23,96,3.8938652080000793
8,4,0,24,96,3.941889442000047
8,4,1,25,96,3.941889442000047
8,4,2,26,96,3.941889442000047
8,4,3,27,96,3.941889442000047
8,4,4,28,96,3.941889442000047
8,4,5,29,96,3.941889442000047
8,4,6,30,96,3.941889442000047
8,4,7,31,96,3.941889442000047
8,5,0,32,96,3.808408886000052
8,5,1,33,96,3.808408886000052
8,5,2,34,96,3.808408886000052
8,5,3,35,96,3.808408886000052
8,5,4,36,96,3.808408886000052
8,5,5,37,96,3.808408886000052
8,5,6,38,96,3.808408886000052
8,5,7,39,96,3.808408886000052
8,6,0,40,96,3.8320248429999992
8,6,1,41,96,3.8320248429999992
8,6,2,42,96,3.8320248429999992
8,6,3,43,96,3.8320248429999992
8,6,4,44,96,3.8320248429999992
8,6,5,45,96,3.8320248429999992
8,6,6,46,96,3.8320248429999992
8,6,7,47,96,3.8320248429999992
8,7,0,48,96,3.766724752000073
8,7,1,49,96,3.766724752000073
8,7,2,50,96,3.766724752000073
8,7,3,51,96,3.766724752000073
8,7,4,52,96,3.766724752000073
8,7,5,53,96,3.766724752000073
8,7,6,54,96,3.766724752000073
8,7,7,55,96,3.766724752000073
8,8,0,56,96,3.7719492430001083
8,8,1,57,96,3.7719492430001083
8,8,2,58,96,3.7719492430001083
8,8,3,59,96,3.7719492430001083
8,8,4,60,96,3.7719492430001083
8,8,5,61,96,3.7719492430001083
8,8,6,62,83,3.7719492430001083
8,8,7,63,96,3.7719492430001083
8,9,0,64,96,3.8784863490000134
8,9,1,65,96,3.8784863490000134
8,9,2,66,96,3.8784863490000134
8,9,3,67,96,3.8784863490000134
8,9,4,68,96,3.8784863490000134
8,9,5,69,96,3.8784863490000134
8,9,6,70,96,3.8784863490000134
8,9,7,71,96,3.8784863490000134
8,10,0,72,96,3.8262920780000513
8,10,1,73,96,3.8262920780000513
8,10,2,74,96,3.8262920780000513
8,10,3,75,96,3.8262920780000513
8,10,4,76,96,3.8262920780000513
8,10,5,77,96,3.8262920780000513
8,10,6,78,96,3.8262920780000513
8,10,7,79,96,3.8262920780000513
16,1,0,0,87,4.012569760000133
16,1,1,1,96,4.012569760000133
16,1,2,2,96,4.012569760000133
16,1,3,3,96,4.012569760000133
16,1,4,4,96,4.012569760000133
16,1,5,5,96,4.012569760000133
16,1,6,6,96,4.012569760000133
16,1,7,7,96,4.012569760000133
16,1,8,8,96,4.012569760000133
16,1,9,9,96,4.012569760000133
16,1,10,10,96,4.012569760000133
16,1,11,11,96,4.012569760000133
16,1,12,12,96,4.012569760000133
16,1,13,13,96,4.012569760000133
16,1,14,14,96,4.012569760000133
16,1,15,15,96,4.012569760000133
16,2,0,16,96,4.119060621000017
16,2,1,17,96,4.119060621000017
16,2,2,18,96,4.119060621000017
16,2,3,19,96,4.119060621000017
16,2,4,20,96,4.119060621000017
16,2,5,21,96,4.119060621000017
16,2,6,22,96,4.119060621000017
16,2,7,23,96,4.119060621000017
16,2,8,24,96,4.119060621000017
16,2,9,25,96,4.119060621000017
16,2,10,26,96,4.119060621000017
16,2,11,27,96,4.119060621000017
16,2,12,28,96,4.119060621000017
16,2,13,29,96,4.119060621000017
16,2,14,30,96,4.119060621000017
16,2,15,31,96,4.119060621000017
16,3,0,32,96,4.032267332999936
16,3,1,33,96,4.032267332999936
16,3,2,34,96,4.032267332999936
16,3,3,35,96,4.032267332999936
16,3,4,36,96,4.032267332999936
16,3,5,37,96,4.032267332999936
16,3,6,38,96,4.032267332999936
16,3,7,39,96,4.032267332999936
16,3,8,40,96,4.032267332999936
16,3,9,41,96,4.032267332999936
16,3,10,42,96,4.032267332999936
16,3,11,43,96,4.032267332999936
16,3,12,44,96,4.032267332999936
16,3,13,45,96,4.032267332999936
16,3,14,46,96,4.032267332999936
16,3,15,47,96,4.032267332999936
16,4,0,48,96,4.050426323000011
16,4,1,49,96,4.050426323000011
16,4,2,50,96,4.050426323000011
16,4,3,51,96,4.050426323000011
16,4,4,52,96,4.050426323000011
16,4,5,53,96,4.050426323000011
16,4,6,54,96,4.050426323000011
16,4,7,55,96,4.050426323000011
16,4,8,56,96,4.050426323000011
16,4,9,57,96,4.050426323000011
16,4,10,58,96,4.050426323000011
16,4,11,59,96,4.050426323000011
16,4,12,60,96,4.050426323000011
16,4,13,61,96,4.050426323000011
16,4,14,62,83,4.050426323000011
16,4,15,63,96,4.050426323000011
16,5,0,64,96,3.9358426119999876
16,5,1,65,96,3.9358426119999876
16,5,2,66,96,3.9358426119999876
16,5,3,67,96,3.9358426119999876
16,5,4,68,96,3.9358426119999876
16,5,5,69,96,3.9358426119999876
16,5,6,70,96,3.9358426119999876
16,5,7,71,96,3.9358426119999876
16,5,8,72,96,3.9358426119999876
16,5,9,73,96,3.9358426119999876
16,5,10,74,96,3.9358426119999876
16,5,11,75,96,3.9358426119999876
16,5,12,76,96,3.9358426119999876
